precision_mode,fallback_mode,N,target_id,best_seed_id,pos_err_mm,rot_err_deg,success_strict,near_limit
fp32_risky,none,1000,23,12,78.553341299,0.66728516341,0,0
fp32_risky,none,1000,28,5,57.7601221544,0.100480839651,0,0
fp32_risky,none,1000,52,0,15.2288456542,0.0668563317558,0,1
fp32_risky,none,1000,65,15,28.4889632869,4.07080060874,0,0
fp32_risky,none,1000,114,8,169.785359872,0.229248427137,0,0
fp32_risky,none,1000,143,12,29.8664308954,0.215437693933,0,0
fp32_risky,none,1000,161,14,56.5232451146,0.0253856210136,0,0
fp32_risky,none,1000,179,9,37.1446173149,0.000479153177043,0,0
fp32_risky,none,1000,196,1,124.652318697,1.51200781085,0,0
fp32_risky,none,1000,198,2,96.5797109798,1.32759653836,0,0
fp32_risky,none,1000,203,13,37.5814841725,0.000539537054107,0,0
fp32_risky,none,1000,209,3,72.1440202487,0.035629230861,0,0
fp32_risky,none,1000,227,14,26.9609573943,0.00629145798066,0,0
fp32_risky,none,1000,232,15,3.11690473034,7.63064458162,0,0
fp32_risky,none,1000,240,2,84.634045049,1.68987279154,0,0
fp32_risky,none,1000,253,4,84.0135259624,1.76933552513,0,0
fp32_risky,none,1000,279,4,120.06246735,2.3395882599,0,0
fp32_risky,none,1000,286,4,40.3422734819,0.00941542048062,0,0
fp32_risky,none,1000,316,3,153.556756312,0.0158134486332,0,0
fp32_risky,none,1000,345,10,97.9280177187,3.79894236561,0,0
fp32_risky,none,1000,367,10,19.4147569174,0.127292679667,0,0
fp32_risky,none,1000,397,0,71.3155185113,3.41024767361,0,0
fp32_risky,none,1000,437,2,16.168522376,0.0504300766857,0,0
fp32_risky,none,1000,504,15,78.8988275443,0.486502830848,0,0
fp32_risky,none,1000,511,14,58.1083227916,0.0428113506108,0,0
fp32_risky,none,1000,515,15,47.1932050244,0.125786136309,0,0
fp32_risky,none,1000,538,0,90.5677628377,0.00121567139448,0,0
fp32_risky,none,1000,594,1,146.682990868,1.48780988611,0,0
fp32_risky,none,1000,603,11,92.7742332828,0.403111860797,0,0
fp32_risky,none,1000,640,9,24.4388597315,2.92477562864,0,0
fp32_risky,none,5000,23,12,78.553341299,0.66728516341,0,0
fp32_risky,none,5000,28,5,57.7601221544,0.100480839651,0,0
fp32_risky,none,5000,52,0,15.2288456542,0.0668563317558,0,1
fp32_risky,none,5000,65,15,28.4889632869,4.07080060874,0,0
fp32_risky,none,5000,114,8,169.785359872,0.229248427137,0,0
fp32_risky,none,5000,143,12,29.8664308954,0.215437693933,0,0
fp32_risky,none,5000,161,14,56.5232451146,0.0253856210136,0,0
fp32_risky,none,5000,179,9,37.1446173149,0.000479153177043,0,0
fp32_risky,none,5000,196,1,124.652318697,1.51200781085,0,0
fp32_risky,none,5000,198,2,96.5797109798,1.32759653836,0,0
fp32_risky,none,5000,203,13,37.5814841725,0.000539537054107,0,0
fp32_risky,none,5000,209,3,72.1440202487,0.035629230861,0,0
fp32_risky,none,5000,227,14,26.9609573943,0.00629145798066,0,0
fp32_risky,none,5000,232,15,3.11690473034,7.63064458162,0,0
fp32_risky,none,5000,240,2,84.634045049,1.68987279154,0,0
fp32_risky,none,5000,253,4,84.0135259624,1.76933552513,0,0
fp32_risky,none,5000,279,4,120.06246735,2.3395882599,0,0
fp32_risky,none,5000,286,4,40.3422734819,0.00941542048062,0,0
fp32_risky,none,5000,316,3,153.556756312,0.0158134486332,0,0
fp32_risky,none,5000,345,10,97.9280177187,3.79894236561,0,0
fp32_risky,none,5000,367,10,19.4147569174,0.127292679667,0,0
fp32_risky,none,5000,397,0,71.3155185113,3.41024767361,0,0
fp32_risky,none,5000,437,2,16.168522376,0.0504300766857,0,0
fp32_risky,none,5000,504,15,78.8988275443,0.486502830848,0,0
fp32_risky,none,5000,511,14,58.1083227916,0.0428113506108,0,0
fp32_risky,none,5000,515,15,47.1932050244,0.125786136309,0,0
fp32_risky,none,5000,538,0,90.5677628377,0.00121567139448,0,0
fp32_risky,none,5000,594,1,146.682990868,1.48780988611,0,0
fp32_risky,none,5000,603,11,92.7742332828,0.403111860797,0,0
fp32_risky,none,5000,640,9,24.4388597315,2.92477562864,0,0
fp32_risky,strict_fail_to_fp64,100,23,12,78.552860708,0.667143384446,0,0
fp32_risky,strict_fail_to_fp64,100,28,5,57.7569798735,0.100358771072,0,0
fp32_risky,strict_fail_to_fp64,100,52,0,15.226736401,0.0667137149439,0,1
fp32_risky,strict_fail_to_fp64,100,65,15,28.4715868366,4.06847701594,0,0
fp32_risky,strict_fail_to_fp64,500,23,12,78.552860708,0.667143384446,0,0
fp32_risky,strict_fail_to_fp64,500,28,5,57.7569798735,0.100358771072,0,0
fp32_risky,strict_fail_to_fp64,500,52,0,15.226736401,0.0667137149439,0,1
fp32_risky,strict_fail_to_fp64,500,65,15,28.4715868366,4.06847701594,0,0
fp32_risky,strict_fail_to_fp64,500,114,8,169.785554775,0.229250302126,0,0
fp32_risky,strict_fail_to_fp64,500,143,12,30.1147728605,0.215696527601,0,0
fp32_risky,strict_fail_to_fp64,500,161,14,56.525608316,0.025378715616,0,0
fp32_risky,strict_fail_to_fp64,500,179,9,37.1450884888,0.000473755977238,0,0
fp32_risky,strict_fail_to_fp64,500,196,1,124.653377465,1.51199115752,0,0
fp32_risky,strict_fail_to_fp64,500,198,2,96.3984895008,1.3994769726,0,0
fp32_risky,strict_fail_to_fp64,500,203,13,37.5816915267,0.000534351461606,0,0
fp32_risky,strict_fail_to_fp64,500,209,3,72.1429443579,0.0356581935759,0,0
fp32_risky,strict_fail_to_fp64,500,227,14,26.9608905769,0.00629568202453,0,0
fp32_risky,strict_fail_to_fp64,500,232,15,3.1128444092,7.64649916293,0,0
fp32_risky,strict_fail_to_fp64,500,240,2,84.6337224005,1.68982395489,0,0
fp32_risky,strict_fail_to_fp64,500,253,4,84.0109870628,1.76902958632,0,0
fp32_risky,strict_fail_to_fp64,500,279,4,120.130557388,2.34412382849,0,0
fp32_risky,strict_fail_to_fp64,500,286,4,40.347939491,0.00942752343796,0,0
fp32_risky,strict_fail_to_fp64,500,316,3,153.55702271,0.0158296189788,0,0
fp32_risky,strict_fail_to_fp64,500,345,2,123.884324846,1.44063033925,0,0
fp32_risky,strict_fail_to_fp64,500,367,10,19.4167261108,0.127359339,0,0
fp32_risky,strict_fail_to_fp64,500,397,0,71.736658927,3.93095159243,0,0
fp32_risky,strict_fail_to_fp64,500,437,2,16.1716782612,0.0504187768726,0,0
fp32_risky,strict_fail_to_fp64,1000,23,12,78.552860708,0.667143384446,0,0
fp32_risky,strict_fail_to_fp64,1000,28,5,57.7569798735,0.100358771072,0,0
fp32_risky,strict_fail_to_fp64,1000,52,0,15.226736401,0.0667137149439,0,1
fp32_risky,strict_fail_to_fp64,1000,65,15,28.4715868366,4.06847701594,0,0
fp32_risky,strict_fail_to_fp64,1000,114,8,169.785554775,0.229250302126,0,0
fp32_risky,strict_fail_to_fp64,1000,143,12,30.1147728605,0.215696527601,0,0
fp32_risky,strict_fail_to_fp64,1000,161,14,56.525608316,0.025378715616,0,0
fp32_risky,strict_fail_to_fp64,1000,179,9,37.1450884888,0.000473755977238,0,0
fp32_risky,strict_fail_to_fp64,1000,196,1,124.653377465,1.51199115752,0,0
fp32_risky,strict_fail_to_fp64,1000,198,2,96.3984895008,1.3994769726,0,0
fp32_risky,strict_fail_to_fp64,1000,203,13,37.5816915267,0.000534351461606,0,0
fp32_risky,strict_fail_to_fp64,1000,209,3,72.1429443579,0.0356581935759,0,0
fp32_risky,strict_fail_to_fp64,1000,227,14,26.9608905769,0.00629568202453,0,0
fp32_risky,strict_fail_to_fp64,1000,232,15,3.1128444092,7.64649916293,0,0
fp32_risky,strict_fail_to_fp64,1000,240,2,84.6337224005,1.68982395489,0,0
fp32_risky,strict_fail_to_fp64,1000,253,4,84.0109870628,1.76902958632,0,0
fp32_risky,strict_fail_to_fp64,1000,279,4,120.130557388,2.34412382849,0,0
fp32_risky,strict_fail_to_fp64,1000,286,4,40.347939491,0.00942752343796,0,0
fp32_risky,strict_fail_to_fp64,1000,316,3,153.55702271,0.0158296189788,0,0
fp32_risky,strict_fail_to_fp64,1000,345,2,123.884324846,1.44063033925,0,0
fp32_risky,strict_fail_to_fp64,1000,367,10,19.4167261108,0.127359339,0,0
fp32_risky,strict_fail_to_fp64,1000,397,0,71.736658927,3.93095159243,0,0
fp32_risky,strict_fail_to_fp64,1000,437,2,16.1716782612,0.0504187768726,0,0
fp32_risky,strict_fail_to_fp64,1000,504,15,78.8974426076,0.486600717601,0,0
fp32_risky,strict_fail_to_fp64,1000,511,14,57.7739865623,0.0429068594127,0,0
fp32_risky,strict_fail_to_fp64,1000,515,15,46.6371173075,0.113975635906,0,0
fp32_risky,strict_fail_to_fp64,1000,538,0,90.5676435811,0.00122682325968,0,0
fp32_risky,strict_fail_to_fp64,1000,594,1,146.683317376,1.48777014309,0,0
fp32_risky,strict_fail_to_fp64,1000,603,8,84.1245957949,0.328451249306,0,0
fp32_risky,strict_fail_to_fp64,1000,640,9,25.2562779307,4.93854912852,0,0
fp32_risky,strict_fail_to_fp64,5000,23,12,78.552860708,0.667143384446,0,0
fp32_risky,strict_fail_to_fp64,5000,28,5,57.7569798735,0.100358771072,0,0
fp32_risky,strict_fail_to_fp64,5000,52,0,15.226736401,0.0667137149439,0,1
fp32_risky,strict_fail_to_fp64,5000,65,15,28.4715868366,4.06847701594,0,0
fp32_risky,strict_fail_to_fp64,5000,114,8,169.785554775,0.229250302126,0,0
fp32_risky,strict_fail_to_fp64,5000,143,12,30.1147728605,0.215696527601,0,0
fp32_risky,strict_fail_to_fp64,5000,161,14,56.525608316,0.025378715616,0,0
fp32_risky,strict_fail_to_fp64,5000,179,9,37.1450884888,0.000473755977238,0,0
fp32_risky,strict_fail_to_fp64,5000,196,1,124.653377465,1.51199115752,0,0
fp32_risky,strict_fail_to_fp64,5000,198,2,96.3984895008,1.3994769726,0,0
fp32_risky,strict_fail_to_fp64,5000,203,13,37.5816915267,0.000534351461606,0,0
fp32_risky,strict_fail_to_fp64,5000,209,3,72.1429443579,0.0356581935759,0,0
fp32_risky,strict_fail_to_fp64,5000,227,14,26.9608905769,0.00629568202453,0,0
fp32_risky,strict_fail_to_fp64,5000,232,15,3.1128444092,7.64649916293,0,0
fp32_risky,strict_fail_to_fp64,5000,240,2,84.6337224005,1.68982395489,0,0
fp32_risky,strict_fail_to_fp64,5000,253,4,84.0109870628,1.76902958632,0,0
fp32_risky,strict_fail_to_fp64,5000,279,4,120.130557388,2.34412382849,0,0
fp32_risky,strict_fail_to_fp64,5000,286,4,40.347939491,0.00942752343796,0,0
fp32_risky,strict_fail_to_fp64,5000,316,3,153.55702271,0.0158296189788,0,0
fp32_risky,strict_fail_to_fp64,5000,345,2,123.884324846,1.44063033925,0,0
fp32_risky,strict_fail_to_fp64,5000,367,10,19.4167261108,0.127359339,0,0
fp32_risky,strict_fail_to_fp64,5000,397,0,71.736658927,3.93095159243,0,0
fp32_risky,strict_fail_to_fp64,5000,437,2,16.1716782612,0.0504187768726,0,0
fp32_risky,strict_fail_to_fp64,5000,504,15,78.8974426076,0.486600717601,0,0
fp32_risky,strict_fail_to_fp64,5000,511,14,57.7739865623,0.0429068594127,0,0
fp32_risky,strict_fail_to_fp64,5000,515,15,46.6371173075,0.113975635906,0,0
fp32_risky,strict_fail_to_fp64,5000,538,0,90.5676435811,0.00122682325968,0,0
fp32_risky,strict_fail_to_fp64,5000,594,1,146.683317376,1.48777014309,0,0
fp32_risky,strict_fail_to_fp64,5000,603,8,84.1245957949,0.328451249306,0,0
fp32_risky,strict_fail_to_fp64,5000,640,9,25.2562779307,4.93854912852,0,0
